Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receive_Samples,Chrome 88.0.4324.104,,,2021-02-03 10:58:15,2021-02-03 10:58:53,38.065s,PASSED
,,,,,,,
Test Cases/Login,Chrome 88.0.4324.104,,,2021-02-03 10:58:16,2021-02-03 10:58:31,14.546s,PASSED
"openBrowser(""http://10.2.1.16:8080/Okazaki/"")",Chrome 88.0.4324.104,,,2021-02-03 10:58:17,2021-02-03 10:58:22,5.345s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-02-03 10:58:22,2021-02-03 10:58:24,2.217s,PASSED
"setText(findTestObject(""Login/Page_Avera Login/txt_username""), username)",Chrome 88.0.4324.104,,,2021-02-03 10:58:24,2021-02-03 10:58:25,0.768s,PASSED
"setText(findTestObject(""Login/Page_Avera Login/txt_password""), password)",Chrome 88.0.4324.104,,,2021-02-03 10:58:25,2021-02-03 10:58:26,0.731s,PASSED
"click(findTestObject(""Login/Page_Avera Login/btn_login""))",Chrome 88.0.4324.104,,,2021-02-03 10:58:26,2021-02-03 10:58:31,5.022s,PASSED
,,,,,,,
Test Cases/Receive_Samples,Chrome 88.0.4324.104,,,2021-02-03 10:58:31,2021-02-03 10:58:53,22.577s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/span_samplemanagement""))",Chrome 88.0.4324.104,,,2021-02-03 10:58:31,2021-02-03 10:58:32,0.731s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/span_receivesamples""))",Chrome 88.0.4324.104,,,2021-02-03 10:58:32,2021-02-03 10:58:32,0.513s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/div_option""))",Chrome 88.0.4324.104,,,2021-02-03 10:58:32,2021-02-03 10:58:39,6.409s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/li_Other""))",Chrome 88.0.4324.104,,,2021-02-03 10:58:39,2021-02-03 10:58:39,0.393s,PASSED
delay(1),Chrome 88.0.4324.104,,,2021-02-03 10:58:39,2021-02-03 10:58:40,1.041s,PASSED
"setText(findTestObject(""Receive Samples/Page_Avera/txt_tube1""), ""IJ8176680700"")",Chrome 88.0.4324.104,,,2021-02-03 10:58:40,2021-02-03 10:58:41,0.795s,PASSED
"scrollToElement(findTestObject(""Receive Samples/Page_Avera/btn_verify""), 10)",Chrome 88.0.4324.104,,,2021-02-03 10:58:41,2021-02-03 10:58:41,0.375s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/btn_verify""))",Chrome 88.0.4324.104,,,2021-02-03 10:58:41,2021-02-03 10:58:42,0.439s,PASSED
"verifyTextPresent(""Successfully verified task Receive Samples"", false)",Chrome 88.0.4324.104,,,2021-02-03 10:58:42,2021-02-03 10:58:53,11.490s,PASSED
"com.avera.demo.myCustomPrint(""Receive Samples Completed"")",Chrome 88.0.4324.104,,,2021-02-03 10:58:53,2021-02-03 10:58:53,0.014s,PASSED
