Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receive_Samples,Chrome 88.0.4324.104,,,2021-02-02 18:51:03,2021-02-02 18:51:48,45.163s,PASSED
,,,,,,,
Test Cases/Login,Chrome 88.0.4324.104,,,2021-02-02 18:51:04,2021-02-02 18:51:22,18.412s,PASSED
"openBrowser(""http://10.2.1.16:8080/Okazaki/"")",Chrome 88.0.4324.104,,,2021-02-02 18:51:04,2021-02-02 18:51:10,5.708s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-02-02 18:51:10,2021-02-02 18:51:12,2.229s,PASSED
"setText(findTestObject(""Login/Page_Avera Login/txt_username""), ""dperez"")",Chrome 88.0.4324.104,,,2021-02-02 18:51:12,2021-02-02 18:51:13,0.851s,PASSED
"setEncryptedText(findTestObject(""Login/Page_Avera Login/txt_password""), ""iGDxf8hSRT4="")",Chrome 88.0.4324.104,,,2021-02-02 18:51:13,2021-02-02 18:51:14,0.530s,PASSED
"click(findTestObject(""Login/Page_Avera Login/btn_login""))",Chrome 88.0.4324.104,,,2021-02-02 18:51:14,2021-02-02 18:51:22,8.744s,PASSED
,,,,,,,
Test Cases/Receive_Samples,Chrome 88.0.4324.104,,,2021-02-02 18:51:22,2021-02-02 18:51:48,25.777s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/span_samplemanagement""))",Chrome 88.0.4324.104,,,2021-02-02 18:51:23,2021-02-02 18:51:23,0.425s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/span_receivesamples""))",Chrome 88.0.4324.104,,,2021-02-02 18:51:23,2021-02-02 18:51:24,0.540s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/div_option""))",Chrome 88.0.4324.104,,,2021-02-02 18:51:24,2021-02-02 18:51:30,6.242s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/li_Other""))",Chrome 88.0.4324.104,,,2021-02-02 18:51:30,2021-02-02 18:51:30,0.403s,PASSED
delay(1),Chrome 88.0.4324.104,,,2021-02-02 18:51:30,2021-02-02 18:51:31,1.039s,PASSED
"setText(findTestObject(""Receive Samples/Page_Avera/txt_tube1""), ""IJ8176680700"")",Chrome 88.0.4324.104,,,2021-02-02 18:51:31,2021-02-02 18:51:32,0.778s,PASSED
"scrollToElement(findTestObject(""Receive Samples/Page_Avera/btn_verify""), 10)",Chrome 88.0.4324.104,,,2021-02-02 18:51:32,2021-02-02 18:51:33,0.391s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/btn_verify""))",Chrome 88.0.4324.104,,,2021-02-02 18:51:33,2021-02-02 18:51:33,0.448s,PASSED
"verifyTextPresent(""Successfully verified task Receive Samples"", false)",Chrome 88.0.4324.104,,,2021-02-02 18:51:33,2021-02-02 18:51:48,15.131s,PASSED
"com.avera.demo.myCustomPrint(""Receive Samples Completed"")",Chrome 88.0.4324.104,,,2021-02-02 18:51:48,2021-02-02 18:51:48,0.018s,PASSED
